"label","shape","n","engine","threads","secs","bytes","mb_s","note"
"fix4","num_random",200000,"fastgeojson",1,0.0265692249995482,8010989,287.546003259143,""
"fix4","num_random",200000,"fastgeojson",32,0.0096925581395247,8010989,788.22064808245,""
"fix4","num_random",200000,"jsonlite",NA,0.183674499989138,8010989,41.5946386611358,""
"fix4","num_random",200000,"yyjsonr",NA,0.0479616999994808,14212624,282.604963495576,""
"fix4","num_random",200000,"jsonify",NA,0.273157050003647,14212892,49.6215274768669,""
"fix4","num_whole",200000,"fastgeojson",1,0.0173462695649663,4755707,261.462304921942,""
"fix4","num_whole",200000,"fastgeojson",32,0.00610791818171768,4755707,742.543610984973,""
"fix4","num_whole",200000,"jsonlite",NA,0.117671550004161,4755707,38.5428391322545,""
"fix4","num_whole",200000,"yyjsonr",NA,0.0225188842098425,5555707,235.284085392767,""
"fix4","num_whole",200000,"jsonify",NA,0.157638500008034,5555707,33.6106666525525,""
"fix4","int_only",200000,"fastgeojson",1,0.0100047024394238,4666841,444.855449464821,""
"fix4","int_only",200000,"fastgeojson",32,0.00570090833328625,4666841,780.690749659206,""
"fix4","int_only",200000,"jsonlite",NA,0.102998674999981,4666841,43.2107150936892,""
"fix4","int_only",200000,"yyjsonr",NA,0.0196731619057356,4666841,226.229338312622,""
"fix4","int_only",200000,"jsonify",NA,0.144166699998702,4666841,30.8715285880286,""
"fix4","logical_only",200000,"fastgeojson",1,0.00897736444409626,4200026,446.172921839278,""
"fix4","logical_only",200000,"fastgeojson",32,0.00504018915662856,4200026,794.703690668183,""
"fix4","logical_only",200000,"jsonlite",NA,0.100458325003274,4200026,39.871826693387,""
"fix4","logical_only",200000,"yyjsonr",NA,0.0178220869565848,4200026,224.746795041226,""
"fix4","logical_only",200000,"jsonify",NA,0.0858422400022391,4200026,46.6606757271711,""
"fix4","chr_short",200000,"fastgeojson",1,0.012729240625049,4350011,325.902690426099,""
"fix4","chr_short",200000,"fastgeojson",32,0.00796885384625057,4350011,520.588512077754,""
"fix4","chr_short",200000,"jsonlite",NA,0.0640321833294972,4350011,64.7876357024612,""
"fix4","chr_short",200000,"yyjsonr",NA,0.0215414315783786,4350011,192.582083121558,""
"fix4","chr_short",200000,"jsonify",NA,0.0887644000002183,4350011,46.7360086563359,""
"fix4","chr_long",10000,"fastgeojson",1,0.00289934135350238,2090001,687.459678576873,""
"fix4","chr_long",10000,"fastgeojson",32,0.00291650948908357,2090001,683.41292302453,""
"fix4","chr_long",10000,"jsonlite",NA,0.0112374888889867,2090001,177.368831653912,""
"fix4","chr_long",10000,"yyjsonr",NA,0.0031993888890914,2090001,622.987809252981,""
"fix4","chr_long",10000,"jsonify",NA,0.00610286000010092,2090001,326.597738589845,""
"fix4","chr_escaped",200000,"fastgeojson",1,0.0105428487175885,3758843,340.013607756991,""
"fix4","chr_escaped",200000,"fastgeojson",32,0.0060755271427167,3758843,590.02485616425,""
"fix4","chr_escaped",200000,"jsonlite",NA,0.0486569874992711,3758843,73.6731189648172,""
"fix4","chr_escaped",200000,"yyjsonr",NA,0.0167045999999876,3758843,214.594305072021,""
"fix4","chr_escaped",200000,"jsonify",NA,0.0478867374986294,3758843,74.8581385108146,""
"fix4","chr_unicode",200000,"fastgeojson",1,0.0144647392860082,2919897,192.511646452228,""
"fix4","chr_unicode",200000,"fastgeojson",32,0.0127531093748985,2919897,218.349164395356,""
"fix4","chr_unicode",200000,"jsonlite",NA,0.0505818874989927,2919897,55.0519348552802,""
"fix4","chr_unicode",200000,"yyjsonr",NA,0.0160956423082658,2919897,173.00525956778,""
"fix4","chr_unicode",200000,"jsonify",NA,0.045640377780526,2919897,61.012439223056,""
"fix4","factor_only",200000,"fastgeojson",1,0.0100544100001571,4632815,439.428736056377,""
"fix4","factor_only",200000,"fastgeojson",32,0.00553912916681535,4632815,797.633805803052,""
"fix4","factor_only",200000,"jsonlite",NA,0.0698686166676149,4632815,63.2357829435818,""
"fix4","factor_only",200000,"yyjsonr",NA,0.0261627937507001,4632815,168.873275547777,""
"fix4","factor_only",200000,"jsonify",NA,0.0899945599958301,4632815,49.0940416661445,""
"fix4","wide",2000,"fastgeojson",1,0.0170571083326649,5343567,298.762399024982,""
"fix4","wide",2000,"fastgeojson",32,0.0066807666667349,5343567,762.790089836588,""
"fix4","wide",2000,"jsonlite",NA,0.0591014857137842,5343567,86.224949243661,""
"fix4","wide",2000,"yyjsonr",NA,0.028567046666285,10296518,343.736084437587,""
"fix4","wide",2000,"jsonify",NA,0.462217400025111,10296710,21.2447819358378,""
"fix4","narrow_tall",200000,"fastgeojson",1,0.00870882391324773,2577630,282.267680766726,""
"fix4","narrow_tall",200000,"fastgeojson",32,0.00356600695674348,2577630,689.347933982472,""
"fix4","narrow_tall",200000,"jsonlite",NA,0.0414713100006338,2577630,59.2751839322334,""
"fix4","narrow_tall",200000,"yyjsonr",NA,0.0181023000001336,5053770,266.245209171699,""
"fix4","narrow_tall",200000,"jsonify",NA,0.0862177600036375,5053887,55.9021972934125,""
"fix4","mixed",200000,"fastgeojson",1,0.0328036153850217,10154975,295.227788997598,""
"fix4","mixed",200000,"fastgeojson",32,0.0142445000000643,10154975,679.879170290557,""
"fix4","mixed",200000,"jsonlite",NA,0.223676249996061,10154975,43.2971262770103,""
"fix4","mixed",200000,"yyjsonr",NA,0.0512157125012891,12602769,234.672847919442,""
"fix4","mixed",200000,"jsonify",NA,0.30354454999906,12602869,39.5956128297139,""
"fix4","na_dense",200000,"fastgeojson",1,0.0107376756755371,2388627,212.14760905512,""
"fix4","na_dense",200000,"fastgeojson",32,0.00487272921371472,2388627,467.494112942488,""
"fix4","na_dense",200000,"jsonlite",NA,0.0661314499981624,2388627,34.4461254280348,""
"fix4","na_dense",200000,"yyjsonr",NA,0.0249391176467351,5362873,205.076791997816,""
"fix4","na_dense",200000,"jsonify",NA,0.122772574999544,5362921,41.6581636300673,""
"fix4","list_column",20000,"fastgeojson",1,0.00312186666673774,842317,257.312747444075,""
"fix4","list_column",20000,"fastgeojson",32,0.00298963920003735,842317,268.693322312047,""
"fix4","list_column",20000,"jsonlite",NA,0.777868100005435,842317,1.03268933276316,""
"fix4","list_column",20000,"yyjsonr",NA,0.00500198888892802,1585230,302.238403596429,""
"fix4","list_column",20000,"jsonify",NA,0.031780872726813,1585261,47.5702071965126,""
"fix4","nested_list",20000,"fastgeojson",1,0.00467968255797195,848895,172.996640006396,""
"fix4","nested_list",20000,"fastgeojson",32,0.00469024318193657,848895,172.607118100733,""
"fix4","nested_list",20000,"jsonlite",NA,2.15522059999057,848895,0.375631783971082,""
"fix4","nested_list",20000,"jsonify",NA,0.0324622454539746,968895,28.4641516282202,""
"fix4","vec_double",200000,"fastgeojson",1,0.00549108493149804,1377430,239.227699085887,""
"fix4","vec_double",200000,"fastgeojson",32,0.00548260270285961,1377430,239.597812360597,""
"fix4","vec_double",200000,"jsonlite",NA,0.0132097612903078,1377430,99.4431000514207,""
"fix4","vec_double",200000,"jsonify",NA,0.0163239480007906,3854740,225.200823614838,""
"fix4","vec_chr",200000,"fastgeojson",1,0.00340501779652895,1000001,280.079379042522,""
"fix4","vec_chr",200000,"fastgeojson",32,0.00341301016959409,1000001,279.423506726318,""
"fix4","vec_chr",200000,"jsonlite",NA,0.014499867856752,1000001,65.771307676882,""
"fix4","vec_chr",200000,"jsonify",NA,0.00402278762872417,1000001,237.068261638019,""
"fix4","sf_point",50000,"fastgeojson",1,0.0138617827585128,5829328,401.050896003529,""
"fix4","sf_point",50000,"fastgeojson",32,0.0101636121945353,5829328,546.978799377731,""
"fix4","sf_point",50000,"jsonlite",NA,5.33275909998338,5829328,1.04247731639052,""
"fix4","sf_point",50000,"geojsonsf",NA,0.0893810399982613,7461012,79.6072133299998,""
"fix4","sf_point",50000,"yyjsonr",NA,0.0257556187498267,7460919,276.261537189251,""
"fix4","sf_linestring",2000,"fastgeojson",1,0.0033550926605923,952940,270.870135346943,""
"fix4","sf_linestring",2000,"fastgeojson",32,0.00156222734088427,952940,581.729930908626,""
"fix4","sf_linestring",2000,"jsonlite",NA,0.256416349991923,952940,3.54421394386434,""
"fix4","sf_linestring",2000,"geojsonsf",NA,0.013123473332962,1768332,128.503542354413,""
"fix4","sf_linestring",2000,"yyjsonr",NA,0.00462294302320346,1768286,364.782549513703,""
"fix4","sf_polygon",1000,"fastgeojson",1,0.013957279309799,3940528,269.248774296673,""
"fix4","sf_polygon",1000,"fastgeojson",32,0.00506930886082575,3940528,741.32005956874,""
"fix4","sf_polygon",1000,"jsonlite",NA,0.287485349996132,3940528,13.0719020872898,""
"fix4","sf_polygon",1000,"geojsonsf",NA,0.0529059125001368,8019975,144.566907823401,""
"fix4","sf_polygon",1000,"yyjsonr",NA,0.0229322055545506,8019669,333.511416212721,""
"fix4","sf_point_xyz",50000,"fastgeojson",1,0.0168346086954799,5472370,310.00772356968,""
"fix4","sf_point_xyz",50000,"fastgeojson",32,0.0112508176474983,5472370,463.864839195268,""
"fix4","sf_point_xyz",50000,"jsonlite",NA,5.24777630000608,5472370,0.994489555293358,""
"fix4","sf_point_xyz",50000,"geojsonsf",NA,0.0879012399993371,7329368,79.5191287078835,""
"fix4","sf_point_xyz",50000,"yyjsonr",NA,0.0327622461526726,7329312,213.348516422093,""
