"label","shape","n","engine","threads","secs","bytes","mb_s","note"
"baseline","na_dense",200000,"fastgeojson",32,0.00737733090910214,2388627,308.779997731151,""
"baseline","na_dense",200000,"jsonlite",NA,0.0655259571462271,2388627,34.7644249788067,""
"baseline","na_dense",200000,"yyjsonr",NA,0.0251460375002353,5362873,203.389271259962,""
"baseline","na_dense",200000,"jsonify",NA,0.12475390000327,5362921,40.9965541636907,""
"baseline","list_column",20000,"fastgeojson",1,0.038373072726906,842317,20.9338484538174,""
"baseline","list_column",20000,"fastgeojson",32,0.0379016818187665,842317,21.1942069751275,""
"baseline","list_column",20000,"jsonlite",NA,0.787797400000272,842317,1.01967344544687,""
"baseline","list_column",20000,"yyjsonr",NA,0.00499349259261191,1585230,302.752654291195,""
"baseline","list_column",20000,"jsonify",NA,0.0326415272720624,1585261,46.3159302534978,""
"baseline","nested_list",20000,"fastgeojson",1,0.132948799999819,848895,6.08933182418184,""
"baseline","nested_list",20000,"fastgeojson",32,0.134028475004015,848895,6.04027881986592,""
"baseline","nested_list",20000,"jsonlite",NA,2.19375370000489,848895,0.369033843144688,""
"baseline","nested_list",20000,"jsonify",NA,0.0334790636367292,968895,27.5996451639323,""
"baseline","vec_double",200000,"fastgeojson",1,0.0421081800013781,1377430,31.1963046990981,""
"baseline","vec_double",200000,"fastgeojson",32,0.0420493300014641,1377430,31.239965383556,""
"baseline","vec_double",200000,"jsonlite",NA,0.0131520483879403,1377430,99.8794693343724,""
"baseline","vec_double",200000,"jsonify",NA,0.0164024680003058,3854740,224.122768253856,""
"baseline","vec_chr",200000,"fastgeojson",1,0.00336837391318429,1000001,283.126308022914,""
"baseline","vec_chr",200000,"fastgeojson",32,0.00341264102568165,1000001,279.453731846899,""
"baseline","vec_chr",200000,"jsonlite",NA,0.0145257357144146,1000001,65.6541801964761,""
"baseline","vec_chr",200000,"jsonify",NA,0.00412505096168248,1000001,231.19114865228,""
"baseline","sf_point",50000,"fastgeojson",1,0.0486247125008958,5829328,114.330349930715,""
"baseline","sf_point",50000,"fastgeojson",32,0.0125084333333441,5829328,444.442581045564,""
"baseline","sf_point",50000,"jsonlite",NA,5.40717190000578,5829328,1.02813087845457,""
"baseline","sf_point",50000,"geojsonsf",NA,0.0927618999965489,7461012,76.7057975210032,""
"baseline","sf_point",50000,"yyjsonr",NA,0.0258138937515469,7460919,275.637875307402,""
"baseline","sf_linestring",2000,"fastgeojson",1,0.022319484209507,952940,40.7175360570864,""
"baseline","sf_linestring",2000,"fastgeojson",32,0.0223936277777991,952940,40.582723446763,""
"baseline","sf_linestring",2000,"jsonlite",NA,0.261133350009914,952940,3.48019279437755,""
"baseline","sf_linestring",2000,"geojsonsf",NA,0.0130563935484632,1768332,129.163754525291,""
"baseline","sf_linestring",2000,"yyjsonr",NA,0.00454270000012581,1768286,371.226130322064,""
"baseline","sf_polygon",1000,"fastgeojson",1,0.0980034400010481,3940528,38.3453922294921,""
"baseline","sf_polygon",1000,"fastgeojson",32,0.0984064800024498,3940528,38.1883423386969,""
"baseline","sf_polygon",1000,"jsonlite",NA,0.286182700001518,3940528,13.1314029347677,""
"baseline","sf_polygon",1000,"geojsonsf",NA,0.053568528570135,8019975,142.778687036483,""
"baseline","sf_polygon",1000,"yyjsonr",NA,0.0231605888887619,8019669,330.222706689918,""
"baseline","sf_point_xyz",50000,"fastgeojson",1,0.044389777778027,5472370,117.568930959042,""
"baseline","sf_point_xyz",50000,"fastgeojson",32,0.0128336571433465,5472370,406.654055081855,""
"baseline","sf_point_xyz",50000,"jsonlite",NA,5.29161009998643,5472370,0.986251560538343,""
"baseline","sf_point_xyz",50000,"geojsonsf",NA,0.0880055600020569,7329368,79.4248683483916,""
"baseline","sf_point_xyz",50000,"yyjsonr",NA,0.0325558769243519,7329312,214.700916444974,""
